id,Name,Rank,Longitude,Latitude,Population
1,Greater London,1,-18162.92767,6711153.709,9787426
2,Greater Manchester,2,-251761.802,7073067.458,2553379
3,West Midlands,3,-210635.2396,6878950.083,2440986
4,West Yorkshire,4,-185959.3022,7145450.207,1777934
5,Glasgow,5,-473845.2389,7538620.144,1209143
6,Liverpool,6,-340595.1768,7063197.083,864122
7,South Hampshire,7,-174443.8647,6589419.084,855569
8,Tyneside,8,-187604.3647,7356018.207,774891
9,Nottingham,9,-131672.2399,6979298.895,729977
10,Sheffield,10,-163545.3257,7055177.403,685368
